Year,Driver,Owner(s)/Team,Car No.,Manufacturer,Wins,Top-5,Top-10,Races,Points,Gap
1970,Bobby Isaac,Nord Krauskopf,71,Dodge,13,11,38,0,3911,51
2003,Matt Kenseth,Jack Roush,17,Ford,0,1,25,0,5022,90
1949,Red Byron,Raymond Parks,22,Oldsmobile,1,2,4,0,842.5,117.5
1978,Cale Yarborough,Junior Johnson,11,Oldsmobile,8,10,24,0,4841,474
1963,Joe Weatherly,Bud Moore,8,Mercury/Pontiac,6,3,35,55,33398,2228
1977,Cale Yarborough,Junior Johnson,11,Chevrolet,3,9,27,0,5000,386
2015,Kyle Busch,Joe Gibbs,18,Toyota,1,5,16,0,5043,1
1981,Darrell Waltrip,Junior Johnson,11,Chevrolet/Buick,11,12,25,0,4880,53
1966,David Pearson,Cotton Owens,6,Dodge,7,15,33,49,35638,1950
1959,Lee Petty,Petty Enterprises,42,Plymouth/Oldsmobile,2,11,35,44,11792,1830
1972,Richard Petty,Petty Enterprises,43,Dodge/Plymouth,3,8,28,0,8701.4,127.9
1987,Dale Earnhardt,Richard Childress,3,Chevrolet,1,11,24,0,4696,489
1974,Richard Petty,Petty Enterprises,43,Dodge,7,10,23,0,5037.75,567.45
1953,Herb Thomas,Herb Thomas,92,Hudson,12,12,31,37,8460,646
1993,Dale Earnhardt,Richard Childress,3,Chevrolet,2,6,21,0,4526,80
1997,Jeff Gordon,Rick Hendrick,24,Chevrolet,1,10,23,0,4710,14
2013,Jimmie Johnson,Rick Hendrick,48,Chevrolet,4,6,24,0,2419,19
1950,Bill Rexford,Julian Buesink,8,Oldsmobile,0,1,11,0,1959,110.5
2005,Tony Stewart,Joe Gibbs,20,Chevrolet,3,5,25,0,6533,35
2000,Bobby Labonte,Joe Gibbs,18,Pontiac,2,4,24,0,5130,265
1958,Lee Petty,Petty Enterprises,42,Oldsmobile,7,43,4,51,12232,644
2012,Brad Keselowski,Penske,2,Dodge,0,5,23,0,2400,39
1986,Dale Earnhardt,Richard Childress,3,Chevrolet,1,5,23,0,4468,288
1985,Darrell Waltrip,Junior Johnson,11,Chevrolet,4,3,21,0,4292,101
2017,Martin Truex Jr.,Furniture Row,78,Toyota,3,8,26,0,5040,5
2018,Joey Logano,Penske,22,Ford,3,3,26,0,5040,5
1975,Richard Petty,Petty Enterprises,43,Dodge,3,13,24,0,4783,722
1951,Herb Thomas,Herb Thomas,92,Plymouth/Hudson,4,7,18,41,4208.45,146.2
2014,Kevin Harvick,Stewart‐Haas,4,Chevrolet,8,5,20,0,5043,1
1999,Dale Jarrett,Robert Yates,88,Ford,0,4,29,0,5262,201
1982,Darrell Waltrip,Junior Johnson,11,Buick,7,12,20,0,4489,72
1960,Rex White,Rex White,4,Chevrolet,3,6,35,44,21164,3936
1973,Benny Parsons,L.G. DeWitt,72,Chevrolet/Mercury,0,1,21,0,7173.8,67.15
2024,Joey Logano,Penske,22,Ford,3,4,12,0,5040,5
1957,Buck Baker,Buck Baker,87,Chevrolet,6,10,38,53,10716,760
1984,Terry Labonte,Billy Hagan,44,Chevrolet,2,2,24,0,4508,65
1962,Joe Weatherly,Bud Moore,8,Pontiac,7,9,45,53,30836,2396
2009,Jimmie Johnson,Rick Hendrick,48,Chevrolet,4,7,24,0,6652,141
1968,David Pearson,Holman-Moody,17,Ford,12,16,38,49,3499,126
2020,Chase Elliott,Rick Hendrick,9,Chevrolet,1,5,22,0,5040,5
1979,Richard Petty,Petty Enterprises,43,Chevrolet/Oldsmobile,1,5,27,0,4830,11
1998,Jeff Gordon,Rick Hendrick,24,Chevrolet,7,13,28,0,5328,364
2008,Jimmie Johnson,Rick Hendrick,48,Chevrolet,6,7,22,0,6684,69
2022,Joey Logano,Penske,22,Ford,4,4,15,0,5040,6
2021,Kyle Larson,Rick Hendrick,5,Chevrolet,2,10,26,0,5040,5
1992,Alan Kulwicki,Alan Kulwicki,7,Ford,6,2,17,0,4078,10
2004,Kurt Busch,Jack Roush,97,Ford,1,3,21,0,6506,8
1961,Ned Jarrett,Ned Jarrett,11,Ford/Chevrolet,4,1,34,52,27272,830
2016,Jimmie Johnson,Rick Hendrick,48,Chevrolet,1,5,16,0,5040,3
2006,Jimmie Johnson,Rick Hendrick,48,Chevrolet,1,5,24,0,6475,56
1983,Bobby Allison,Bill Gardner,22,Chevrolet/Buick,0,6,25,0,4667,47
2007,Jimmie Johnson,Rick Hendrick,48,Chevrolet,4,10,24,0,6723,77
1969,David Pearson,Holman-Moody,17,Ford,13,11,44,49,4170,357
1996,Terry Labonte,Rick Hendrick,5,Chevrolet,4,2,24,0,4657,37
1991,Dale Earnhardt,Richard Childress,3,Chevrolet,0,4,21,0,4287,195
2019,Kyle Busch,Joe Gibbs,18,Toyota,1,5,27,0,5040,5
1988,Bill Elliott,Harry Melling,9,Ford,6,6,22,0,4488,24
1989,Rusty Wallace,Raymond Beadle,27,Pontiac,4,6,20,0,4176,12
2023,Ryan Blaney,Penske,12,Ford,0,3,18,0,5035,1
1952,Tim Flock,Ted Chester,91,Hudson,4,8,25,45,6858.5,106
